Region,MonthDate,HPIndex
Greater London,30/04/2007,435.1507
Greater London,31/07/2007,448.7288
Greater London,31/10/2007,454.569
Greater London,31/01/2008,447.5655
Greater London,30/04/2008,424.3991
Greater London,31/07/2008,406.7334
Greater London,31/10/2008,386.1549
Greater London,31/01/2009,366.3019
Greater London,30/04/2009,380.7789
Greater London,31/07/2009,398.8569
Greater London,31/10/2009,413.4601
Greater London,31/01/2010,424.0654
Greater London,30/04/2010,430.587
Greater London,31/07/2010,435.5494
Greater London,31/10/2010,423.6841
Greater London,31/01/2011,433.3289
Greater London,30/04/2011,442.7944
Greater London,31/07/2011,437.7245
Greater London,31/10/2011,446.4895
Greater London,31/01/2012,443.8443
Greater London,30/04/2012,447.8311
Greater London,31/07/2012,447.0277
Greater London,31/10/2012,449.7031
Greater London,31/01/2013,464.3929
Greater London,30/04/2013,470.9112
Greater London,31/07/2013,492.1977
Greater London,31/10/2013,516.7932
Greater London,31/01/2014,548.665
Greater London,30/04/2014,592.2052
Greater London,31/07/2014,596.4551
Greater London,31/10/2014,608.692
Greater London,31/01/2015,618.0973
Greater London,30/04/2015,635.6145
Greater London,31/07/2015,659.7094
Greater London,31/10/2015,682.6636
Greater London,31/01/2016,689.1643
Greater London,30/04/2016,698.9772
Greater London,31/07/2016,706.4741
Greater London,31/10/2016,707.7566
Greater London,31/01/2017,723.289
Greater London,30/04/2017,707.8751
Greater London,31/07/2017,702.0534
Greater London,31/10/2017,704.4568
Greater London,31/01/2018,715.4389
Greater London,30/04/2018,694.3892
Greater London,31/07/2018,697.4442
Greater London,31/10/2018,698.3472
Greater London,31/01/2019,687.8016
Greater London,30/04/2019,689.9335
Greater London,31/07/2019,685.8492
Greater London,31/10/2019,685.526
Greater London,31/01/2020,694.4785
Greater London,30/04/2020,704.523
North,31/10/1973,16.8762
North,31/01/1974,17.013
North,30/04/1974,16.9327
North,31/07/1974,17.1404
North,31/10/1974,17.3583
North,31/01/1975,17.9104
North,30/04/1975,18.7628
North,31/07/1975,19.522
North,31/10/1975,20.3667
North,31/01/1976,20.9333
North,30/04/1976,21.4194
North,31/07/1976,21.8782
North,31/10/1976,22.9898
North,31/01/1977,23.5781
North,30/04/1977,24.2972
North,31/07/1977,24.6882
North,31/10/1977,25.0475
North,31/01/1978,26.1378
North,30/04/1978,27.2558
North,31/07/1978,28.665
North,31/10/1978,30.0274
North,31/01/1979,31.2979
North,30/04/1979,32.919
North,31/07/1979,35.1274
North,31/10/1979,37.0621
North,31/01/1980,38.8111
North,30/04/1980,39.9024
North,31/07/1980,40.184
North,31/10/1980,40.3232
North,31/01/1981,40.3171
North,30/04/1981,40.4173
North,31/07/1981,40.6846
North,31/10/1981,40.9404
North,31/01/1982,42.3197
North,30/04/1982,42.9643
North,31/07/1982,43.9157
North,31/10/1982,46.5714
North,31/01/1983,46.0984
North,30/04/1983,47.5378
North,31/07/1983,50.0728
North,31/10/1983,50.0542
North,31/01/1984,51.8715
North,30/04/1984,53.3797
North,31/07/1984,54.142
North,31/10/1984,56.0049
North,31/01/1985,57.2665
